Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.4426807760141093
Pengujian Ke- 2,3,0.3,0.2,0.48206937095825986
Pengujian Ke- 3,3,0.4,0.1,0.892416225749559
Pengujian Ke- 4,3,0.4,0.2,0.7871840094062317
Pengujian Ke- 5,4,0.3,0.1,0.7489711934156379
Pengujian Ke- 6,4,0.3,0.2,0.5267489711934157
Pengujian Ke- 7,4,0.4,0.1,0.6942974720752498
Pengujian Ke- 8,4,0.4,0.2,0.7577895355673133
Pengujian Ke- 9,5,0.3,0.1,0.6748971193415638
Pengujian Ke- 10,5,0.3,0.2,0.7677836566725456
Pengujian Ke- 11,5,0.4,0.1,0.5049970605526161
Pengujian Ke- 12,5,0.4,0.2,0.7472075249853027
